Topic,Difficulty,Question,Answer
Machine Learning,intermediate,What is one-hot encoding?,A method to represent categorical data as binary vectors.
Machine Learning,intermediate,What is normalization?,"Scaling input values to a range like [0,1] to ensure equal feature contribution."
Machine Learning,intermediate,What is standardization?,Rescaling data to have mean 0 and standard deviation 1.
Machine Learning,intermediate,What is cross-entropy loss?,A loss function commonly used for classification tasks.
Machine Learning,intermediate,What is k-nearest neighbors (KNN)?,A simple algorithm that classifies samples based on the majority class among k nearest data points.
Machine Learning,intermediate,What is a random forest?,An ensemble of decision trees that improves accuracy and reduces overfitting.
Machine Learning,advanced,What is a neural network?,"A computational model inspired by the human brain, consisting of layers of interconnected nodes."
Machine Learning,advanced,What is deep learning?,A subset of ML using neural networks with many layers to model complex data patterns.
Machine Learning,advanced,What is backpropagation?,An algorithm for training neural networks by updating weights based on error gradients.
Machine Learning,advanced,What is a convolutional neural network (CNN)?,A deep learning model used primarily for image processing and pattern recognition.
Machine Learning,advanced,What is a recurrent neural network (RNN)?,A neural network designed to handle sequential data by retaining information across time steps.
Machine Learning,advanced,What is dropout in neural networks?,A regularization technique that randomly ignores some neurons during training to prevent overfitting.
Machine Learning,advanced,What is transfer learning?,"Using a pre-trained model on a new, related task to reduce training time and improve performance."
Machine Learning,advanced,What is gradient vanishing?,"A problem in deep networks where gradients become too small, preventing effective learning."
Machine Learning,advanced,What is reinforcement learning used for?,"Applications like game AI, robotics, and decision-making where agents learn via rewards."
Machine Learning,advanced,What is explainable AI?,Techniques that make model predictions interpretable and transparent to humans.
NLP,beginner,What is NLP?,"Natural Language Processing is a field of AI that enables computers to understand, interpret, and generate human language."
NLP,beginner,What are the main tasks in NLP?,"Text classification, sentiment analysis, machine translation, named entity recognition, and text summarization."
NLP,beginner,What is tokenization?,The process of splitting text into smaller units like words or sentences.
NLP,beginner,What is stemming?,Reducing words to their root form by removing suffixes.
NLP,beginner,What is lemmatization?,Reducing words to their base or dictionary form using linguistic rules.
NLP,beginner,What is a corpus?,A large collection of text used for training NLP models.
NLP,beginner,What is stop word removal?,"Eliminating common words like 'the', 'is', and 'and' that carry little meaning."
NLP,beginner,What is bag-of-words model?,A representation of text as an unordered collection of word frequencies.
NLP,beginner,What is TF-IDF?,"Term Frequency-Inverse Document Frequency, a measure of how important a word is to a document in a corpus."
NLP,beginner,What is word embedding?,A vector representation of words capturing their semantic meaning.
NLP,beginner,What is a sentence?,A group of words expressing a complete thought.
NLP,beginner,What is part-of-speech tagging?,"Labeling words in a sentence with their grammatical roles like noun, verb, adjective, etc."
NLP,beginner,What is named entity recognition?,"Identifying proper names like people, organizations, or locations in text."
NLP,beginner,What is sentiment analysis?,Determining the emotional tone or opinion expressed in text.
NLP,beginner,What is text classification?,Assigning predefined categories to text documents.
NLP,beginner,What is language modeling?,Predicting the next word in a sequence based on previous words.
NLP,beginner,What is N-gram?,A contiguous sequence of N items (usually words) from a text sample.
NLP,beginner,What is stopword filtering?,"Removing common, insignificant words from text to reduce noise."
NLP,beginner,What is the difference between stemming and lemmatization?,Stemming cuts off word endings; lemmatization uses linguistic rules to find the base word.
NLP,beginner,What is token?,"A basic unit of text, such as a word or punctuation mark."
NLP,intermediate,What is Word2Vec?,A model that learns vector representations of words based on their context.
NLP,intermediate,What is GloVe?,"Global Vectors for Word Representation, a model based on word co-occurrence statistics."
NLP,intermediate,What is fastText?,An extension of Word2Vec that represents words as combinations of character n-grams.
NLP,intermediate,What is cosine similarity?,A measure of similarity between two vectors based on the cosine of the angle between them.
NLP,intermediate,What is bag-of-n-grams?,A representation considering sequences of words rather than single words.
NLP,intermediate,What is text normalization?,"Transforming text into a consistent format, such as lowercasing and removing punctuation."
NLP,intermediate,What is word sense disambiguation?,Determining which meaning of a word is used in context.
NLP,intermediate,What is a language model?,A model that predicts the probability of a sequence of words.
NLP,intermediate,What is machine translation?,Automatically translating text from one language to another.
NLP,intermediate,What is attention mechanism?,A technique allowing models to focus on relevant parts of the input sequence.
NLP,intermediate,What is sequence-to-sequence learning?,"Mapping an input sequence to an output sequence, such as in translation."
NLP,intermediate,What is encoder-decoder architecture?,A neural network design for sequence transduction tasks like translation or summarization.
NLP,intermediate,What is an embedding layer?,A neural network layer that converts categorical data into dense vectors.
NLP,intermediate,What is perplexity in NLP?,A measure of how well a language model predicts a sample.
NLP,intermediate,What is BLEU score?,A metric for evaluating the quality of machine-translated text.
NLP,intermediate,What is ROUGE score?,A metric for evaluating text summarization by comparing overlaps with reference summaries.
NLP,intermediate,What is tokenization in transformers?,Breaking text into subword units compatible with pre-trained models.
NLP,intermediate,What is subword tokenization?,Splitting words into smaller pieces to handle rare or unknown words.
NLP,intermediate,What is named entity recognition used for?,"Extracting proper nouns like person names, places, or organizations from text."
NLP,intermediate,What is stopword removal important for?,It helps reduce noise and improve model performance.
NLP,advanced,What is BERT?,"Bidirectional Encoder Representations from Transformers, a model pre-trained on large corpora for various NLP tasks."
NLP,advanced,What is GPT?,"Generative Pre-trained Transformer, a model that generates human-like text using transformer architecture."
NLP,advanced,What is a transformer in NLP?,A neural network architecture using self-attention to process sequences efficiently.
NLP,advanced,What is self-attention?,A mechanism that allows models to weigh the importance of each token relative to others in a sequence.
NLP,advanced,What is fine-tuning in NLP?,Adapting a pre-trained model to a specific task by training on task-specific data.
NLP,advanced,What is zero-shot learning in NLP?,Performing tasks without explicit training examples for that task.
NLP,advanced,What is a large language model?,A model with billions of parameters trained on vast text data to understand and generate language.
NLP,advanced,What is prompt engineering?,Crafting input prompts to guide the behavior and output of large language models.
NLP,advanced,What is semantic search?,Retrieving documents based on meaning rather than keyword matching.
NLP,advanced,What is transfer learning in NLP?,Using knowledge from pre-trained models for new NLP tasks to save time and resources.
Generative AI,beginner,What is Generative AI?,"A branch of AI that creates new content such as text, images, music, or code using learned patterns from data."
Generative AI,beginner,What are some popular applications of Generative AI?,"Text generation, image synthesis, video creation, music composition, and code generation."
Generative AI,beginner,What is a generative model?,A model that can produce new data instances similar to its training data.
Generative AI,beginner,What is the difference between generative and discriminative models?,Generative models create data; discriminative models classify or predict outcomes.
Generative AI,beginner,What are some common generative AI models?,"GANs, VAEs, and Transformer-based models like GPT and Stable Diffusion."
Generative AI,beginner,What is a dataset in Generative AI?,A collection of data used to train models to learn patterns for generating new content.
Generative AI,beginner,What is prompt engineering?,The process of crafting effective input prompts to guide a model's output.
Generative AI,beginner,What is GPT?,"Generative Pre-trained Transformer, a model that generates human-like text."
Generative AI,beginner,What is Stable Diffusion?,An AI model that generates images from text prompts using diffusion processes.
Generative AI,beginner,What is DALL·E?,An image generation model by OpenAI that creates pictures from textual descriptions.
Generative AI,beginner,What is fine-tuning?,"Training a pre-trained model on a smaller, specific dataset to specialize it for a particular task."
Generative AI,beginner,What is text-to-image generation?,The process of generating images from descriptive text using AI models.
Generative AI,beginner,What is a latent space?,A compressed representation of data used by generative models to produce new samples.
Generative AI,beginner,What is temperature in text generation?,A parameter controlling randomness in model output; higher values produce more creative results.
Generative AI,beginner,What is a token in Generative AI?,"A unit of text (word, subword, or symbol) used by language models to process input."
Generative AI,beginner,What is zero-shot generation?,Generating outputs for tasks the model was not explicitly trained on.
Generative AI,beginner,What is multimodal AI?,"AI that can process and generate multiple types of data, such as text, images, and audio."
Generative AI,beginner,What is model hallucination?,When a model generates incorrect or fabricated information.
Generative AI,beginner,What is the role of training data in Generative AI?,It helps models learn patterns and structures to generate realistic outputs.
Generative AI,beginner,What is creative AI?,"AI systems capable of producing new and imaginative content like art, stories, and music."
Generative AI,intermediate,What is a GAN?,"A Generative Adversarial Network where two neural networks, a generator and a discriminator, compete to create realistic data."
Generative AI,intermediate,What is a VAE?,A Variational Autoencoder that learns to encode data into a latent space and decode it back to generate new samples.
Generative AI,intermediate,What is the difference between GAN and VAE?,"GANs generate sharper samples, while VAEs focus on learning smooth latent representations."
Generative AI,intermediate,What is diffusion in generative AI?,A process that gradually adds noise to data and then learns to reverse it to generate new content.
Generative AI,intermediate,What is the transformer architecture?,"A neural network structure based on self-attention, widely used in generative AI models."
Generative AI,intermediate,What is self-attention?,A mechanism that helps models weigh relationships between different parts of an input sequence.
Generative AI,intermediate,What is a decoder in a transformer?,A component that generates output sequences based on encoded input and attention mechanisms.
Generative AI,intermediate,What is reinforcement learning from human feedback (RLHF)?,A technique that uses human feedback to align AI outputs with user preferences.
Generative AI,intermediate,What is a language model?,A model that predicts or generates text based on patterns learned from language data.
Generative AI,intermediate,What is a diffusion model?,A generative model that starts with random noise and iteratively refines it into data samples.
Generative AI,intermediate,What is image-to-image translation?,"Transforming one image into another using generative models, such as changing styles or objects."
Generative AI,intermediate,What is inpainting?,Filling in missing or masked parts of an image using a generative model.
Generative AI,intermediate,What is style transfer?,Applying the artistic style of one image to another while preserving its content.
Generative AI,intermediate,What is data augmentation?,Creating synthetic data to improve model training and diversity.
Generative AI,intermediate,What is latent diffusion?,A generative process operating in a compressed latent space instead of pixel space for efficiency.
Generative AI,intermediate,What is conditioning in generative models?,"Guiding generation using additional input such as text, labels, or images."
Generative AI,intermediate,What is text-to-video generation?,Using generative models to create video content from text prompts.
Generative AI,intermediate,What is fine-tuning large language models?,Customizing pre-trained LLMs for specific domains or tasks using smaller datasets.
Generative AI,intermediate,What is prompt tuning?,Optimizing input prompts automatically to improve model performance on specific tasks.
Generative AI,intermediate,What is controllable generation?,Techniques allowing users to guide AI outputs toward specific attributes or styles.
Generative AI,advanced,What is a diffusion transformer?,A hybrid model combining diffusion processes with transformer architectures for high-quality generation.
Generative AI,advanced,What are foundation models?,Large pre-trained models that serve as the base for many downstream tasks through fine-tuning or prompting.
Generative AI,advanced,What is model alignment?,"Ensuring AI outputs are consistent with human values, ethics, and intentions."
Generative AI,advanced,What are hallucination mitigation techniques?,Methods such as retrieval augmentation and fact-checking to reduce false outputs.
Generative AI,advanced,What is retrieval-augmented generation (RAG)?,Combining a retriever with a generator to ground responses in factual data sources.
Generative AI,advanced,What is multimodal fusion?,"Integrating multiple data types like text, image, and audio into one model for richer understanding."
Generative AI,advanced,What is a large language model (LLM)?,A transformer-based model trained on massive text data to understand and generate human-like language.
Generative AI,advanced,What are ethical concerns in Generative AI?,"Bias, misinformation, copyright issues, and misuse of generated content."
Generative AI,advanced,What is model distillation?,"Compressing large models into smaller, faster ones while preserving performance."
Generative AI,advanced,What is few-shot learning?,Adapting a model to new tasks using only a few examples.
